agent_i,agent_j,synergy,redundancy,unique_i,unique_j,mutual_info,n_observations
diplomatic,economic,0.047400748147857774,0.033376427708502465,0.004010238105323971,0.042170103519557633,0.12695751748124184,50
diplomatic,intelligence,0.009405967252961167,0.0059312156632891355,0.031455450150537745,0.006209863174307939,0.05300249624109599,50
diplomatic,military,0.05867274029221248,0.019227211853618087,0.018159453960208793,0.0009710812511865008,0.09703048735722586,50
economic,intelligence,-1.1878825126876436e-06,0.0046173140338852114,0.07092980723791298,0.007525042397335091,0.0830709757866206,50
economic,military,0.1532096563216947,0.020200680001921878,0.055346441269876756,1.2989258646456392e-07,0.2287569074860798,50
intelligence,military,0.006414540761223497,0.004125157687575376,0.008015266077666006,0.016070344465333175,0.034625308991798054,50
